FastApi

---------- coverage: platform linux, python 3.8.10-final-0 -----------
Name                                                                                      Stmts   Miss  Cover
tests/test_generate_unique_id_function.py                                                   125      0   100%
tests/test_generic_parameterless_depends.py                                                  29      0   100%
tests/test_get_request_body.py                                                               20      0   100%
tests/test_http_connection_injection.py                                                      24      0   100%
tests/test_include_route.py                                                                  14      0   100%
tests/test_include_router_defaults_overrides.py                                             181      0   100%
tests/test_infer_param_optionality.py                                                        63      0   100%
tests/test_inherited_custom_class.py                                                         69     23    67%
tests/test_invalid_path_param.py                                                             45      0   100%
tests/test_invalid_sequence_param.py                                                         32      0   100%
tests/test_jsonable_encoder.py                                                              198     30    85%
tests/test_local_docs.py                                                                     41      0   100%
tests/test_modules_same_name_body/__init__.py                                                 0      0   100%
tests/test_modules_same_name_body/app/__init__.py                                             0      0   100%
tests/test_modules_same_name_body/app/a.py                                                    5      0   100%
tests/test_modules_same_name_body/app/b.py                                                    5      0   100%
tests/test_modules_same_name_body/app/main.py                                                 5      0   100%
tests/test_modules_same_name_body/test_main.py                                               25      0   100%
tests/test_multi_body_errors.py                                                              30      0   100%
tests/test_multi_query_errors.py                                                             21      0   100%
tests/test_multipart_installation.py                                                         63      0   100%
tests/test_no_swagger_ui_redirect.py                                                         20      0   100%
tests/test_openapi_examples.py                                                               39      0   100%
tests/test_openapi_query_parameter_extension.py                                              17      0   100%
tests/test_openapi_route_extensions.py                                                       15      0   100%
tests/test_openapi_separate_input_output_schemas.py                                          72      0   100%
tests/test_openapi_servers.py                                                                15      0   100%
tests/test_operations_signatures.py                                                          17      0   100%
tests/test_orjson_response_class.py                                                          14      0   100%
tests/test_param_class.py                                                                    17      0   100%
tests/test_param_in_path_and_dependency.py                                                   16      0   100%
tests/test_param_include_in_schema.py                                                        46      0   100%
tests/test_params_repr.py                                                                    63      0   100%
tests/test_path.py                                                                          303      0   100%
tests/test_put_no_body.py                                                                    19      0   100%
tests/test_query.py                                                                         119      0   100%
tests/test_read_with_orm_mode.py                                                             64     29    55%
tests/test_regex_deprecated_body.py                                                          40     25    38%
tests/test_regex_deprecated_params.py                                                        40     25    38%
tests/test_repeated_cookie_headers.py                                                        19      0   100%
tests/test_repeated_dependency_schema.py                                                     22      0   100%
tests/test_repeated_parameter_alias.py                                                       16      0   100%
tests/test_reponse_set_reponse_code_empty.py                                                 17      0   100%
tests/test_request_body_parameters_media_type.py                                             20      0   100%
tests/test_required_noneable.py                                                              38      0   100%
tests/test_response_by_alias.py                                                              82      2    98%
tests/test_response_change_status_code.py                                                    15      0   100%
tests/test_response_class_no_mediatype.py                                                    22      0   100%
tests/test_response_code_no_body.py                                                          28      0   100%
tests/test_response_model_as_return_annotation.py                                           281      0   100%
tests/test_response_model_data_filter.py                                                     41      0   100%
tests/test_response_model_data_filter_no_inheritance.py                                      43      0   100%
tests/test_response_model_include_exclude.py                                                 57      0   100%
tests/test_response_model_invalid.py                                                         26      0   100%
tests/test_response_model_sub_types.py                                                       33      0   100%
tests/test_route_scope.py                                                                    33      1    97%
tests/test_router_events.py                                                                  86      0   100%
tests/test_router_prefix_with_template.py                                                    13      0   100%
tests/test_router_redirect_slashes.py                                                        26      0   100%
tests/test_schema_extra_examples.py                                                         115      2    98%
tests/test_security_api_key_cookie.py                                                        29      0   100%
tests/test_security_api_key_cookie_description.py                                            29      0   100%
tests/test_security_api_key_cookie_optional.py                                               34      0   100%
tests/test_security_api_key_header.py                                                        27      0   100%
tests/test_security_api_key_header_description.py                                            27      0   100%
tests/test_security_api_key_header_optional.py                                               32      0   100%
tests/test_security_api_key_query.py                                                         27      0   100%
tests/test_security_api_key_query_description.py                                             27      0   100%
tests/test_security_api_key_query_optional.py                                                32      0   100%
tests/test_security_http_base.py                                                             21      0   100%
tests/test_security_http_base_description.py                                                 21      0   100%
tests/test_security_http_base_optional.py                                                    24      0   100%
tests/test_security_http_basic_optional.py                                                   37      0   100%
tests/test_security_http_basic_realm.py                                                      35      0   100%
tests/test_security_http_basic_realm_description.py                                          35      0   100%
tests/test_security_http_bearer.py                                                           25      0   100%
tests/test_security_http_bearer_description.py                                               25      0   100%
tests/test_security_http_bearer_optional.py                                                  28      0   100%
tests/test_security_http_digest.py                                                           25      0   100%
tests/test_security_http_digest_description.py                                               25      0   100%
tests/test_security_http_digest_optional.py                                                  28      0   100%
tests/test_security_oauth2.py                                                                51      0   100%
tests/test_security_oauth2_authorization_code_bearer.py                                      26      0   100%
tests/test_security_oauth2_authorization_code_bearer_description.py                          26      0   100%
tests/test_security_oauth2_optional.py                                                       56      0   100%
tests/test_security_oauth2_optional_description.py                                           56      0   100%
tests/test_security_oauth2_password_bearer_optional.py                                       28      0   100%
tests/test_security_oauth2_password_bearer_optional_description.py                           28      0   100%
tests/test_security_openid_connect.py                                                        31      0   100%
tests/test_security_openid_connect_description.py                                            31      0   100%
tests/test_security_openid_connect_optional.py                                               36      0   100%
tests/test_serialize_response.py                                                             31      0   100%
tests/test_serialize_response_dataclass.py                                                   62      0   100%
tests/test_serialize_response_model.py                                                       66      0   100%
tests/test_skip_defaults.py                                                                  50      0   100%
tests/test_starlette_exception.py                                                            52      0   100%
tests/test_starlette_urlconvertors.py                                                        36      0   100%
tests/test_sub_callbacks.py                                                                  39      0   100%
tests/test_swagger_ui_init_oauth.py                                                          18      0   100%
tests/test_tuples.py                                                                         58      0   100%
tests/test_tutorial/__init__.py                                                               0      0   100%
tests/test_tutorial/test_additional_responses/__init__.py                                     0      0   100%
tests/test_tutorial/test_additional_responses/test_tutorial001.py                            15      0   100%
tests/test_tutorial/test_additional_responses/test_tutorial002.py                            21      0   100%
tests/test_tutorial/test_additional_responses/test_tutorial003.py                            15      0   100%
tests/test_tutorial/test_additional_responses/test_tutorial004.py                            21      0   100%
tests/test_tutorial/test_additional_status_codes/__init__.py                                  0      0   100%
tests/test_tutorial/test_additional_status_codes/test_tutorial001.py                         11      0   100%
tests/test_tutorial/test_additional_status_codes/test_tutorial001_an.py                      11      0   100%
tests/test_tutorial/test_additional_status_codes/test_tutorial001_an_py39.py                 18      9    50%
tests/test_tutorial/test_additional_status_codes/test_tutorial001_an_py310.py                18      9    50%
tests/test_tutorial/test_additional_status_codes/test_tutorial001_py310.py                   18      9    50%
tests/test_tutorial/test_advanced_middleware/__init__.py                                      0      0   100%
tests/test_tutorial/test_advanced_middleware/test_tutorial001.py                             10      0   100%
tests/test_tutorial/test_advanced_middleware/test_tutorial002.py                             12      0   100%
tests/test_tutorial/test_advanced_middleware/test_tutorial003.py                             15      0   100%
